,image,vel,steer_pos,throttle_pos,objects
150,[141 132 131 ... 209 215 255],41.68,-0.04,0.7,"[Actor(id=103, type=vehicle.toyota.prius), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=52, type=traffic.traffic_light), Actor(id=53, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
151,[141 133 131 ... 191 198 255],42.61,-0.03,0.69,[]
152,[141 133 131 ... 206 215 255],43.35,-0.02,0.67,"[Actor(id=49, type=traffic.traffic_light), Actor(id=47, type=traffic.traffic_light)]"
153,[141 132 131 ... 206 214 255],43.84,-0.01,0.65,"[Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=103, type=vehicle.toyota.prius), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light), Actor(id=53, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
154,[142 133 131 ... 209 216 255],44.15,-0.01,0.65,[]
155,[141 133 131 ... 201 208 255],44.33,-0.01,0.64,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light)]"
156,[141 133 131 ... 205 213 255],44.44,-0.0,0.64,"[Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=103, type=vehicle.toyota.prius), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=51, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
157,[141 132 131 ... 209 215 255],44.51,-0.0,0.64,[]
158,[141 133 131 ... 191 198 255],44.54,-0.0,0.64,"[Actor(id=49, type=traffic.traffic_light)]"
159,[141 133 131 ... 206 215 255],44.57,-0.0,0.63,"[Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=103, type=vehicle.toyota.prius), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
160,[141 132 131 ... 206 214 255],44.58,-0.0,0.63,[]
161,[142 133 131 ... 209 216 255],44.59,0.0,0.63,"[Actor(id=49, type=traffic.traffic_light)]"
162,[141 133 131 ... 201 208 255],44.59,0.0,0.63,"[Actor(id=38, type=traffic.speed_limit.60), Actor(id=103, type=vehicle.toyota.prius), Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=51, type=traffic.traffic_light), Actor(id=53, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
163,[141 133 131 ... 205 213 255],44.6,0.0,0.63,[]
164,[141 132 131 ... 209 215 255],44.6,0.0,0.63,"[Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=54, type=traffic.traffic_light)]"
165,[141 133 131 ... 191 198 255],44.6,0.0,0.63,"[Actor(id=101, type=vehicle.lincoln.mkz2017), Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=103, type=vehicle.toyota.prius), Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=51, type=traffic.traffic_light)]"
166,[141 133 131 ... 206 215 255],44.6,0.0,0.63,[]
